Brand,Style,Country,Stars,Top Ten
Maruchan,Bowl,Japan,4.5,0
iMee,Pack,Netherlands,3.5,0
IbuRamen,Tray,USA,0.25,0
Nissin,Pack,Germany,3.0,0
Itsuki,Bowl,Japan,4.5,0
Prima,Pack,Singapore,5.0,0
Thai Smile,Bowl,USA,0.0,0
MAMA,Pack,Myanmar,3.75,0
Nissin,Cup,Japan,5.0,0
Nissin,Tray,USA,3.0,0
Asia Gold,Pack,Hungary,3.5,0
Nissin,Bowl,Japan,4.75,0
Prima Taste,Pack,Singapore,5.0,5
Vifon,Pack,Vietnam,3.5,0
Pirkka,Pack,Finland,3.5,0
Bonasia,Pack,Hungary,3.0,0
Higashimaru,Pack,Japan,4.5,0
MAMA,Pack,Myanmar,5.0,0
Prima,Pack,Singapore,5.0,0
Ibumie,Pack,Malaysia,5.0,0
Koh Thai,Pack,Netherlands,1.5,0
Master Kong,Bowl,China,3.0,0
Nissin,Cup,Japan,3.5,0
Asia Gold,Pack,Hungary,3.5,0
Maruchan,Bowl,Japan,5.0,0
MAMA,Pack,Myanmar,2.75,0
Nissin,Cup,Japan,5.0,0
Ottogi,Pack,South Korea,4.0,0
Nissin,Cup,USA,3.5,0
Kuriki,Pack,Japan,4.5,0
MAMA,Pack,Myanmar,2.75,0
Nissin,Cup,Singapore,3.5,0
Myojo,Pack,Singapore,4.25,0
Myojo,Bowl,Singapore,3.75,0
Myojo,Pack,Singapore,3.0,0
Myojo,Bowl,Singapore,4.5,0
Myojo,Pack,Singapore,4.0,0
Myojo,Bowl,Singapore,4.75,0
Myojo,Pack,Singapore,3.5,0
Myojo,Bowl,Singapore,3.75,0
Myojo,Pack,Singapore,3.5,0
Myojo,Bowl,Singapore,5.0,0
Myojo,Pack,Singapore,4.5,0
Myojo,Pack,Singapore,3.75,0
Sapporo Ichiban,Pack,USA,5.0,0
Ibumie,Pack,Malaysia,2.5,0
Vedan,Bowl,Taiwan,0.0,0
Itsuki,Pack,Japan,5.0,0
Nissin,Cup,Thailand,3.75,0
Asia Gold,Pack,Hungary,2.75,0
Nissin,Pack,Germany,3.5,0
Marutai,Bowl,Japan,4.0,0
Yum Yum,Bowl,Thailand,4.0,0
MyKuali,Pack,Malaysia,5.0,0
Mama,Cup,Myanmar,3.5,0
Nissin,Pack,USA,5.0,0
Baijia,Pack,China,0.0,0
Ibumie,Pack,Malaysia,3.75,0
Conimex,Cup,Netherlands,0.5,0
Nissin,Cup,Japan,2.75,0
Mama,Pack,Cambodia,5.0,0
Myojo,Bowl,Japan,5.0,0
IbuRamen,Tray,USA,3.25,0
Indomie,Cup,Indonesia,5.0,0
Daraz,Pack,Japan,3.0,0
Mama,Pack,Myanmar,3.5,0
Bonasia,Pack,Hungary,3.5,0
Myojo,Bowl,USA,3.25,0
Fujiwara,Pack,Japan,3.5,0
Nissin,Pack,USA,4.5,0
Pama,Pack,Malaysia,3.5,0
MyKuali,Pack,Malaysia,5.0,0
Conimex,Pack,Netherlands,3.0,0
Nissin,Tray,USA,4.5,0
Mama,Pack,Bangladesh,3.25,0
Seven & I,Bowl,Japan,5.0,0
Forest Noodles,Pack,Taiwan,4.5,0
Forest Noodles,Pack,Taiwan,5.0,0
Forest Noodles,Pack,Taiwan,4.0,0
Forest Noodles,Pack,Taiwan,3.25,0
Vit's,Pack,Malaysia,5.0,0
Vit's,Pack,Malaysia,4.5,0
Vit's,Pack,Malaysia,5.0,0
Vit's,Pack,Malaysia,5.0,0
Vit's,Pack,Malaysia,5.0,0
Vit's,Pack,Malaysia,5.0,0
Vit's,Pack,Malaysia,3.75,0
Yum Yum,Pack,Thailand,3.5,0
Kuriki,Pack,Japan,4.0,0
Tseng Noodles,Pack,Taiwan,4.75,0
Tseng Noodles,Pack,Taiwan,5.0,0
Tseng Noodles,Pack,Taiwan,5.0,9
Nongshim,Pack,South Korea,5.0,0
Mama,Pack,Cambodia,3.5,0
Sichuan Baijia,Pack,China,4.5,0
Nongshim,Cup,USA,5.0,0
MyKuali,Pack,Malaysia,4.0,0
Mi Sedaap,Pack,Indonesia,3.5,0
Myojo,Bowl,USA,3.25,0
Ten-In,Bowl,Taiwan,1.5,0
Yum Yum,Bowl,Thailand,5.0,0
Sugakiya Foods,Bowl,Japan,4.5,0
Hao Way,Bowl,Malaysia,4.0,0
Vifon,Bowl,Vietnam,3.25,0
Nakaya Shouten,Pack,Japan,4.0,0
Koh Thai,Pack,Netherlands,3.0,0
Nissin,Pack,Germany,4.25,0
Master Kong,Bowl,China,4.25,0
Conimex,Pack,Netherlands,3.5,0
MyKuali,Pack,Malaysia,5.0,0
Marutai,Bowl,Japan,4.75,0
Mama,Cup,Thailand,3.5,0
Wai Wai,Cup,Thailand,3.5,0
Cintan,Pack,Malaysia,3.5,0
Mama,Pack,Bangladesh,4.0,0
Thai Chef,Pack,Hungary,4.75,0
Mama,Pack,Thailand,4.0,0
Nissin,Cup,USA,3.5,0
Baijia,Pack,China,3.75,0
Crystal Noodle,Cup,USA,0.25,0
Thai Smile,Bowl,USA,2.5,0
iMee,Pack,Netherlands,2.75,0
Wai Wai,Pack,Thailand,3.5,0
Fujiwara,Pack,Japan,4.75,0
Azami,Pack,Canada,0.0,0
Vit's,Pack,Malaysia,3.0,0
Cintan,Pack,Malaysia,3.5,0
A1,Pack,Malaysia,3.5,0
Vit's,Pack,Malaysia,4.25,0
Super,Cup,Malaysia,4.5,0
Cintan,Pack,Malaysia,3.5,0
Super,Cup,Malaysia,3.0,0
Pama,Pack,Malaysia,4.0,0
Nissin,Tray,USA,4.25,0
Super,Cup,Malaysia,3.5,0
Torishi,Pack,Japan,5.0,0
iMee,Pack,Netherlands,4.5,0
Western Family,Pack,Canada,0.0,0
MyKuali,Bowl,Malaysia,5.0,0
Pulmuone,Pack,South Korea,4.5,0
Chering Chang,Pack,Taiwan,3.25,0
JML,Pack,China,5.0,0
JML,Bowl,China,3.5,0
JML,Bowl,China,5.0,0
JML,Bowl,China,4.25,0
JML,Pack,China,5.0,0
JML,Bowl,China,4.0,0
JML,Pack,China,5.0,0
JML,Bowl,China,3.5,0
JML,Bowl,China,4.5,0
Mamee,Pack,Malaysia,5.0,0
New Touch,Bowl,Japan,5.0,0
Mama,Pack,Cambodia,4.0,0
Paldo,Bowl,South Korea,3.5,0
Nissin,Cup,USA,3.5,0
Pirkka,Pack,Finland,3.75,0
Ishimaru,Pack,Japan,4.5,0
Mom's Dry Noodle,Pack,Taiwan,4.0,0
Authentically Asian,Bowl,USA,1.0,0
New Touch,Bowl,Japan,4.5,0
Nissin,Cup,Thailand,4.0,0
Vit's,Pack,Malaysia,3.5,0
iMee,Pack,Netherlands,3.25,0
A-Sha Dry Noodle,Pack,Taiwan,4.25,0
Mama,Pack,Bangladesh,4.0,0
Paldo,Bowl,South Korea,5.0,0
Thai Smile,Bowl,USA,3.5,0
Kuriki,Pack,Japan,4.75,0
Mom's Dry Noodle,Pack,Taiwan,5.0,0
Mi Sedaap,Cup,Indonesia,5.0,0
Yum Yum,Pack,Thailand,5.0,0
Azami,Cup,Canada,3.0,0
Vit's,Pack,Malaysia,3.5,0
Marutai,Bowl,Japan,4.25,0
Unox,Pack,Netherlands,3.5,0
A-Sha Dry Noodle,Pack,Taiwan,5.0,0
Mama,Pack,Myanmar,4.5,0
Aroi,Pack,Malaysia,4.5,0
Myojo,Bowl,USA,2.5,0
Master Kong,Pack,China,4.25,0
Nissin,Bowl,Japan,4.5,0
Little Cook,Cup,Thailand,4.25,0
Mi Sedaap,Cup,Indonesia,3.75,0
Mamee,Pack,Malaysia,5.0,0
Master Kong,Bowl,China,4.0,0
Koka,Pack,Singapore,4.25,0
Bonasia,Pack,Germany,3.75,0
Super,Cup,Malaysia,3.25,0
Mama,Pack,Cambodia,5.0,0
Wu-Mu,Pack,Taiwan,4.5,0
Vedan,Cup,Taiwan,2.75,0
Yamadai,Bowl,Japan,3.25,0
Wei Lih,Bowl,Taiwan,5.0,0
Vina Acecook,Bowl,Vietnam,3.0,0
A-Sha Dry Noodle,Pack,Taiwan,3.25,0
Pirkka,Pack,Finland,3.5,0
Baixiang Noodles,Pack,China,3.75,0
CarJEN,Pack,Malaysia,4.5,0
Salam Mie,Pack,Indonesia,4.25,0
Mamee,Cup,Malaysia,5.0,0
Wai Wai,Bowl,Thailand,2.5,0
Vina Acecook,Cup,Vietnam,2.5,0
Lee Fah Mee,Pack,Sarawak,4.0,0
Mama,Pack,Myanmar,3.5,0
Yum Yum,Pack,Thailand,3.75,0
Master Kong,Pack,China,3.75,0
CarJEN,Pack,Malaysia,5.0,0
Sakurai Foods,Pack,Japan,4.5,0
Hao Way,Pack,Malaysia,4.0,0
Chering Chang,Pack,Taiwan,5.0,0
Asia Gold,Pack,Hungary,4.0,0
The Kitchen Food,Pack,Sarawak,4.0,0
Azami,Bowl,Canada,3.5,0
Maggi,Cup,Malaysia,4.75,0
Premiere,Pack,Malaysia,4.5,0
Baixiang Noodles,Pack,China,3.75,0
7 Select/Nissin,Cup,Thailand,3.5,0
Samyang Foods,Cup,Japan,2.75,0
Sakurai Foods,Pack,Japan,4.25,0
A-Sha Dry Noodle,Pack,Taiwan,4.0,0
Vit's,Pack,Malaysia,3.5,0
Maruchan,Cup,USA,4.0,0
The Kitchen Food,Pack,Sarawak,5.0,0
Mama,Cup,Thailand,5.0,0
Mama,Cup,Thailand,5.0,0
Mama,Pack,Thailand,4.75,0
Mama,Cup,Myanmar,5.0,0
Mama,Pack,Bangladesh,3.25,0
Mama,Cup,Thailand,3.5,0
Wugudaochang,Bowl,China,4.0,0
Wugudaochang,Pack,China,5.0,7
Wugudaochang,Bowl,China,3.75,0
Wugudaochang,Pack,China,3.75,0
Wugudaochang,Pack,China,3.5,0
Wugudaochang,Pack,China,4.0,0
Wugudaochang,Bowl,China,4.5,0
Wugudaochang,Pack,China,5.0,0
Wugudaochang,Pack,China,4.0,0
Wugudaochang,Bowl,China,3.75,0
Aroi,Pack,Malaysia,4.5,0
Ten-In,Bowl,Taiwan,3.5,0
Nongshim,Pack,USA,5.0,0
Paldo,Pack,South Korea,5.0,0
A1,Pack,Malaysia,4.25,0
Baixiang Noodles,Pack,China,4.5,0
Emart,Cup,South Korea,3.5,0
Lishan Food Manufacturing,Pack,Taiwan,3.5,0
Azami,Cup,Canada,3.25,0
Ah Lai,Pack,Malaysia,5.0,0
Tropicana Slim,Pack,Indonesia,3.75,0
A-One,Cup,Vietnam,1.25,0
Mama,Cup,Thailand,3.5,0
Deshome,Pack,Taiwan,5.0,0
Vifon,Cup,Vietnam,3.0,0
Paldo Vina,Pack,Vietnam,1.5,0
Mamee,Pack,Malaysia,2.0,0
Vina Acecook,Pack,Vietnam,4.0,0
Mama,Pack,Thailand,5.0,0
Chencun,Cup,China,3.75,0
Sau Tao,Pack,Hong Kong,3.0,0
United,Pack,Vietnam,2.75,0
ChoripDong,Bowl,South Korea,5.0,0
Shan,Pack,Pakistan,2.75,0
Mama,Cup,Thailand,3.5,0
Baijia,Pack,China,3.0,0
MyOri,Pack,Malaysia,5.0,0
MyOri,Pack,Malaysia,5.0,0
MyOri,Pack,Malaysia,5.0,0
Ruski,Pack,Malaysia,3.75,0
Ottogi,Pack,South Korea,4.25,0
Master Kong,Pack,China,4.25,0
Wei Lih,Pack,Taiwan,4.25,0
No Name,Cup,Canada,2.75,0
New Way,Tray,Vietnam,4.0,0
Lucky Me!,Bowl,Philippines,3.75,0
Hao Way,Bowl,Malaysia,2.0,0
Emart,Cup,South Korea,3.5,0
Campbell's,Cup,Canada,0.25,0
One Dish Asia,Bowl,USA,0.0,0
Long Jun Hang,Pack,Taiwan,2.0,0
Pama,Cup,Malaysia,3.75,0
A-Sha Dry Noodle,Pack,Taiwan,5.0,10
Thai Chef,Pack,Germany,3.0,0
Shan,Pack,Pakistan,3.25,0
Wai Wai,Pack,Thailand,2.75,0
Samyang Foods,Cup,South Korea,3.5,0
A-One,Cup,Vietnam,3.5,0
Cintan,Pack,Malaysia,3.0,0
Nissin,Bowl,Japan,4.0,0
Nongshim,Bowl,China,2.5,0
Hao Way,Bowl,Malaysia,3.5,0
Azami,Cup,Canada,0.0,0
Vedan,Bowl,Taiwan,2.5,0
Nissin,Bowl,Japan,2.75,0
Mama,Bowl,Thailand,5.0,0
Baixiang Noodles,Pack,China,3.0,0
MyKuali,Pack,Malaysia,5.0,0
Nongshim,Pack,USA,4.0,0
Myojo,Bowl,Japan,3.0,0
Premiere,Pack,Malaysia,3.25,0
Nissin,Pack,Singapore,3.75,0
Deshome,Pack,Taiwan,2.5,0
MyKuali,Pack,Malaysia,5.0,7
Unif-100,Pack,China,3.5,0
Hankow,Pack,China,4.0,0
The Bridge,Pack,Malaysia,5.0,0
Maruchan,Bowl,Japan,3.25,0
Shan,Pack,Pakistan,3.25,0
Lucky Me!,Bowl,Philippines,4.0,0
Paldo Vina,Pack,Vietnam,3.0,0
Mitoku,Pack,Japan,0.25,0
Hao Way,Pack,Malaysia,4.5,0
Myojo,Bowl,Japan,2.75,0
Maggi,Pack,Malaysia,4.0,0
Nissin,Pack,Hong Kong,3.5,0
Unzen,Pack,Japan,1.0,0
Salam Mie,Pack,Indonesia,5.0,0
Vina Acecook,Pack,Vietnam,3.5,0
Nongshim,Pack,South Korea,5.0,0
Chering Chang,Pack,Taiwan,5.0,0
Nissin,Pack,India,3.5,0
Mama,Cup,Thailand,4.0,0
Nissin,Tray,USA,4.0,0
Uncle Sun,Pack,Malaysia,3.0,0
JML,Pack,China,5.0,0
Acecook,Cup,Japan,2.25,0
Nongshim,Pack,South Korea,4.25,0
Mom's Dry Noodle,Pack,Taiwan,5.0,0
Mi E-Zee,Pack,Malaysia,3.5,0
Mi E-Zee,Pack,Malaysia,3.75,0
E-mi,Pack,Malaysia,3.75,0
Mi E-Zee,Pack,Malaysia,3.5,0
J.J.,Pack,Malaysia,3.75,0
CarJEN,Pack,Malaysia,5.0,4
E-mi,Pack,Malaysia,3.75,0
J.J.,Pack,Malaysia,4.0,0
Mi E-Zee,Pack,Malaysia,4.0,0
United,Pack,Vietnam,2.75,0
Emart,Pack,South Korea,3.75,0
Curry Prince,Pack,Malaysia,4.0,0
Nissin,Bowl,Japan,4.0,0
Mama,Pack,Thailand,3.75,0
Maggi,Pack,India,3.75,0
Paldo,Bowl,South Korea,5.0,0
Chering Chang,Pack,Taiwan,3.5,0
Hao Way,Bowl,Malaysia,4.75,0
Master Kong,Pack,China,3.75,0
Econsave,Pack,Malaysia,3.5,0
Maruchan,Bowl,Japan,5.0,0
Maggi,Pack,Malaysia,4.0,0
Mama,Cup,Thailand,3.5,0
Nissin,Cup,Japan,4.25,0
Nissin,Cup,India,3.25,0
Oyatsu,Pack,Japan,2.5,0
A-One,Cup,Vietnam,3.0,0
Nongshim,Pack,USA,4.25,0
Koka,Pack,Singapore,2.75,0
Uncle Sun,Pack,Malaysia,4.5,0
Kin-Dee,Tray,Thailand,3.75,0
Master Kong,Pack,China,4.0,0
No Name,Cup,Canada,2.0,0
Hao Way,Pack,Malaysia,3.5,0
Ching's Secret,Pack,India,3.75,0
Ko-Lee,Pack,UK,3.5,0
ICA,Pack,Sweden,3.0,0
Mamee,Pack,Malaysia,3.75,0
Bamee,Pack,Thailand,3.5,0
Myojo,Bowl,Japan,3.5,0
Ibumie,Pack,Malaysia,5.0,0
Sapporo Ichiban,Pack,Canada,5.0,0
Samyang Foods,Cup,Japan,3.75,0
Vedan,Bowl,Taiwan,4.25,0
Nissin,Pack,Hong Kong,3.5,0
Nanyang Chef,Pack,Malaysia,5.0,0
Thai Pavilion,Tray,USA,1.5,0
Maggi,Pack,India,3.75,0
Koka,Cup,Singapore,2.5,0
Wu-Mu,Pack,Taiwan,3.75,0
Unif-100,Pack,China,4.25,0
New Touch,Bowl,Japan,3.5,0
Sau Tao,Pack,Hong Kong,4.5,0
Wai Wai,Pack,Thailand,3.75,0
Paldo Vina,Pack,Vietnam,3.25,0
Sau Tao,Pack,Hong Kong,3.5,0
Vit's,Pack,Malaysia,3.75,0
Miliket,Pack,Vietnam,3.75,0
Lucky Me!,Pack,Philippines,4.5,0
Lucky Me!,Pack,Philippines,3.75,0
Lucky Me!,Pack,Philippines,4.0,0
Lucky Me!,Pack,Philippines,4.0,0
Lucky Me!,Cup,Philippines,3.25,0
Lucky Me!,Pack,Philippines,4.5,0
Lucky Me!,Pack,Philippines,3.75,0
Pama,Cup,Malaysia,3.75,0
Nissin,Pack,Singapore,3.5,0
Paldo,Bowl,South Korea,5.0,0
Vifon,Pack,Vietnam,3.25,0
Maruchan,Tray,Japan,5.0,9
Yum Yum,Pack,Thailand,3.0,0
Ching's Secret,Pack,India,3.5,0
Mamee,Pack,Malaysia,4.5,0
Katoz,Pack,Sweden,3.5,0
Men-Sunaoshi,Pack,Japan,3.75,0
Nongshim,Pack,South Korea,4.0,0
Maggi,Pack,Malaysia,4.5,0
Mama,Pack,Thailand,4.0,0
Chewy,Pack,Hong Kong,1.75,0
Long Jun Hang,Pack,Taiwan,3.25,0
Knorr,Pack,Hong Kong,3.25,0
Nissin,Bowl,Japan,3.5,0
Mamee,Pack,Malaysia,5.0,6
Nissin,Pack,Singapore,3.5,0
Nissin,Pack,India,3.75,0
Shan,Pack,Pakistan,3.25,0
Master Kong,Pack,China,4.25,0
Nongshim,Bowl,USA,3.25,0
JML,Pack,China,4.0,0
Acecook,Tray,Japan,3.25,0
MyKuali,Pack,Malaysia,5.0,1
United,Pack,Vietnam,3.25,0
Samyang Foods,Pack,South Korea,3.5,0
Nissin,Cup,USA,3.5,0
Master Kong,Pack,China,4.5,0
Super,Cup,Malaysia,3.75,0
Indomie,Cup,Indonesia,3.5,0
Maruchan,Bowl,Japan,4.25,0
Wai Wai,Pack,Thailand,4.0,0
Ottogi,Pack,South Korea,3.75,0
Nissin,Cup,Germany,3.5,0
Maggi,Pack,India,3.25,0
Mom's Dry Noodle,Pack,Taiwan,5.0,0
ICA,Pack,Sweden,3.25,0
Mom's Dry Noodle,Pack,Taiwan,5.0,0
Nongshim,Pack,USA,5.0,0
Ibumie,Pack,Malaysia,3.75,0
Four Seas,Pack,Hong Kong,4.0,0
Maruchan,Pack,Japan,4.0,0
Master Kong,Pack,China,3.5,0
Paldo,Pack,South Korea,4.0,0
Nissin,Cup,USA,3.5,0
Ruski,Pack,Thailand,4.0,0
Mama,Pack,Thailand,4.0,0
Thai Chef,Pack,Germany,3.5,0
Bamee,Cup,Thailand,3.25,0
Mama,Pack,Thailand,4.0,0
Mama,Cup,Thailand,5.0,0
Ruski,Pack,Thailand,3.75,0
Mama,Pack,Thailand,5.0,10
Mama,Cup,Thailand,3.5,0
Bamee,Pack,Germany,3.25,0
Mama,Cup,Thailand,5.0,0
Ruski,Pack,Thailand,4.5,0
Mama,Pack,Thailand,5.0,8
Thai Chef,Pack,Germany,3.5,0
Nanyang Chef,Pack,Malaysia,4.75,0
Maruchan,Cup,USA,3.5,0
Wei Lih,Bowl,Taiwan,2.25,0
Nissin,Cup,Singapore,4.0,0
Nissin,Pack,Singapore,3.75,0
Nissin,Cup,Singapore,4.0,0
Nissin,Bowl,Singapore,3.75,0
Nissin,Pack,Singapore,3.75,0
Nissin,Cup,Singapore,3.5,0
Nissin,Pack,Singapore,3.75,0
Nissin,Cup,Singapore,4.0,0
Nissin,Pack,Singapore,5.0,0
Nissin,Bowl,Singapore,3.75,0
Nissin,Cup,Singapore,4.0,0
Nissin,Pack,Singapore,5.0,0
Nissin,Cup,Singapore,4.0,0
Nissin,Pack,Singapore,4.25,0
Nissin,Cup,Singapore,4.0,0
Myojo,Tray,Japan,4.5,0
MyKuali,Pack,Malaysia,5.0,0
Maruchan,Cup,USA,3.5,0
Nongshim,Pack,USA,4.25,0
Maggi,Pack,Singapore,3.5,0
Nissin,Bowl,USA,3.5,0
Wu-Mu,Pack,Taiwan,3.0,0
Adabi,Pack,Malaysia,3.5,0
Maruchan,Pack,Japan,3.5,0
Knorr,Pack,Hong Kong,3.0,0
Chencun,Cup,China,3.5,0
Maggi,Pack,Singapore,4.0,0
Maggi,Cup,Malaysia,3.5,0
Maggi,Pack,Singapore,3.75,0
Maggi,Pack,Singapore,5.0,0
Maggi,Pack,Singapore,5.0,0
Samyang Foods,Bowl,South Korea,4.0,0
Nissin,Pack,Colombia,3.5,0
Myojo,Pack,Japan,3.0,0
Osaka Ramen,Bowl,USA,3.75,0
Ottogi,Bowl,South Korea,4.0,0
Hao Way,Pack,Malaysia,4.5,0
Sainsbury's,Pack,UK,1.5,0
Vina Acecook,Pack,Vietnam,3.0,0
Nissin,Tray,USA,3.0,0
Nongshim,Cup,China,2.75,0
Maruchan,Pack,Japan,3.75,0
Vifon,Cup,Vietnam,3.5,0
Ottogi,Pack,South Korea,1.0,0
Sau Tao,Pack,Taiwan,1.75,0
Myojo,Pack,Japan,2.0,0
Chewy,Pack,Hong Kong,0.5,0
Paldo,Pack,South Korea,5.0,0
Chering Chang,Pack,Taiwan,5.0,0
Chewy,Pack,Hong Kong,4.0,0
A-Sha Dry Noodle,Pack,Taiwan,4.0,0
Adabi,Pack,Malaysia,3.25,0
Baixiang Noodles,Pack,China,3.5,0
Pamana,Cup,Philippines,3.5,0
Annie Chun's,Pack,USA,5.0,0
La Fonte,Pack,Indonesia,3.75,0
Maggi,Pack,India,3.75,0
Thai Choice,Cup,Thailand,4.0,0
Tesco,Cup,UK,0.5,0
Pop Bihun,Pack,Indonesia,3.75,0
Myojo,Tray,Japan,3.75,0
Pulmuone,Pack,South Korea,3.75,0
Vina Acecook,Bowl,Vietnam,3.75,0
Nissin,Pack,Singapore,3.0,0
Wu-Mu,Pack,Taiwan,4.0,0
Oyatsu,Pack,Japan,4.75,0
Snapdragon,Bowl,USA,4.25,0
Paldo,Pack,South Korea,4.5,0
Saji,Pack,Malaysia,4.25,0
Miracle Noodle,Pack,USA,4.0,0
Shan,Pack,Pakistan,3.5,0
Indomie,Pack,Indonesia,4.75,0
Tiger Tiger,Pack,UK,1.75,0
Paldo,Pack,South Korea,3.75,0
Takamori Kosan,Pack,Japan,4.0,0
Takamori Kosan,Pack,Japan,4.5,0
Takamori Kosan,Pack,Japan,3.75,0
Takamori Kosan,Pack,Japan,3.0,0
Takamori Kosan,Pack,Japan,4.75,0
Takamori Kosan,Pack,Japan,4.75,0
Takamori Kosan,Pack,Japan,5.0,0
Takamori Kosan,Pack,Japan,3.75,0
Takamori Kosan,Pack,Japan,4.0,0
Takamori Kosan,Pack,Japan,5.0,0
Takamori Kosan,Pack,Japan,4.25,0
Takamori Kosan,Pack,Japan,3.75,0
Takamori Kosan,Pack,Japan,4.0,0
Tokyo Noodle,Pack,Japan,3.25,0
Tesco,Cup,UK,2.0,0
Samyang Foods,Cup,South Korea,3.75,0
Campbell's,Cup,Canada,0.0,0
Papa,Pack,Thailand,3.25,0
A-Sha Dry Noodle,Pack,Taiwan,3.25,0
Nissin,Cup,Germany,3.0,0
Sawadee,Pack,UK,1.5,0
Nongshim,Cup,USA,4.25,0
Four Seas,Bowl,Hong Kong,3.5,0
Golden Wheat,Bowl,China,1.75,0
Sau Tao,Pack,Hong Kong,2.75,0
Mamee,Pack,Malaysia,3.5,0
Mamee,Pack,Malaysia,5.0,0
Mamee,Pack,Malaysia,3.75,0
Mamee,Cup,Malaysia,5.0,0
Mamee,Pack,Malaysia,4.0,0
Mamee,Cup,Malaysia,5.0,0
Mamee,Pack,Malaysia,3.25,0
Mamee,Pack,Malaysia,3.25,0
Mamee,Cup,Malaysia,4.75,0
Mamee,Pack,Malaysia,3.75,0
Mamee,Pack,Malaysia,3.75,0
Mamee,Pack,Malaysia,4.0,0
Mamee,Pack,Malaysia,5.0,7
Mamee,Cup,Malaysia,4.5,0
Mamee,Pack,Malaysia,3.75,0
Paldo,Pack,South Korea,4.0,0
Oyatsu,Pack,Japan,3.75,0
Lotus Foods,Pack,USA,2.25,0
Lotus Foods,Pack,USA,4.0,0
Lotus Foods,Pack,USA,3.25,0
Ah Lai,Pack,Malaysia,4.5,0
Plats Du Chef,Bowl,Canada,5.0,0
Indomie,Pack,Indonesia,2.75,0
Kin-Dee,Tray,Thailand,3.75,0
Batchelors,Pack,UK,1.5,0
Sakura Noodle,Pack,USA,4.25,0
Shirakiku,Pack,USA,3.75,0
Sakura Noodle,Pack,USA,4.0,0
Sakura Noodle,Pack,USA,3.75,0
Sakura Noodle,Pack,USA,3.75,0
Sakura Noodle,Pack,USA,3.75,0
Indomie,Pack,Indonesia,3.75,0
Sapporo Ichiban,Tray,Japan,5.0,4
Vifon,Cup,Vietnam,1.25,0
A-Sha Dry Noodle,Pack,Taiwan,3.75,0
Unif,Pack,China,3.0,0
Mamee,Pack,Malaysia,3.75,0
Koka,Cup,Singapore,3.25,0
Ruski,Pack,Thailand,3.5,0
Golden Wheat,Pack,China,2.0,0
Hi-Myon,Pack,South Korea,4.0,0
Takamori Kosan,Pack,Japan,3.75,0
Mama,Cup,Thailand,3.75,0
Adabi,Pack,Malaysia,4.25,0
Nissin,Bowl,Japan,4.0,0
Ve Wong,Pack,Taiwan,2.5,0
Ottogi,Pack,South Korea,2.75,0
Sainsbury's,Pack,UK,2.75,0
Paldo,Pack,South Korea,5.0,0
Healtimie,Pack,Indonesia,3.25,0
Maruchan,Pack,Japan,3.75,0
Pop Bihun,Pack,Indonesia,4.0,0
Thai Kitchen,Tray,USA,3.0,0
Yum Yum,Cup,Thailand,3.75,0
Nongshim,Pack,South Korea,5.0,9
Nissin,Cup,Japan,3.75,0
Koka,Pack,Singapore,2.5,0
A-Sha Dry Noodle,Pack,Taiwan,3.75,0
Nissin,Pack,Hong Kong,4.75,0
Western Family,Cup,Canada,1.5,0
Mama,Pack,Thailand,5.0,10
Knorr,Pack,Hong Kong,3.25,0
Samyang Foods,Pack,South Korea,5.0,0
Mr. Noodles,Cup,Canada,1.0,0
Good Tto Leu Foods,Bowl,South Korea,4.0,0
GaGa,Pack,Indonesia,3.25,0
Wu-Mu,Pack,Taiwan,3.5,0
Wu-Mu,Pack,Taiwan,3.25,0
Thai Choice,Cup,Thailand,3.0,0
Myojo,Pack,Singapore,4.25,0
Nissin,Cup,Colombia,3.0,0
A-One,Cup,Vietnam,3.25,0
Nongshim,Tray,South Korea,4.5,0
JML,Pack,China,4.0,0
Sau Tao,Bowl,Hong Kong,3.75,0
Kimura,Pack,Japan,5.0,0
Batchelors,Pack,UK,3.25,0
Lucky Me!,Bowl,Philippines,3.25,0
Thai Kitchen,Tray,USA,4.25,0
Nongshim,Cup,South Korea,4.0,0
Koka,Pack,Singapore,2.75,0
Tokachimen Koubou,Bowl,Japan,2.25,0
Deshome,Pack,Taiwan,5.0,0
Ko-Lee,Pack,UK,3.5,0
Ottogi,Pack,South Korea,3.25,0
Vifon,Pack,Vietnam,2.0,0
Adabi,Pack,Malaysia,4.25,0
Wu-Mu,Pack,Taiwan,4.5,0
Wu-Mu,Pack,Taiwan,3.75,0
Sainsbury's,Pack,UK,3.25,0
Samyang Foods,Pack,South Korea,3.5,0
Prima Taste,Pack,Singapore,5.0,8
Ko-Lee,Pack,UK,5.0,0
Chewy,Pack,Hong Kong,2.5,0
Wu-Mu,Pack,Taiwan,3.25,0
ABC,Cup,Indonesia,3.75,0
ABC,Cup,Indonesia,4.0,0
ABC,Cup,Indonesia,3.75,0
ABC,Cup,Indonesia,4.25,0
Nissin,Cup,Japan,4.25,0
ABC,Cup,Indonesia,3.75,0
Eat & Go,Cup,Indonesia,3.75,0
ABC,Pack,Indonesia,5.0,0
Eat & Go,Cup,Indonesia,3.75,0
President,Pack,Indonesia,4.5,0
ABC,Cup,Indonesia,4.0,0
Eat & Go,Cup,Indonesia,4.25,0
Thai Choice,Cup,Thailand,3.25,0
