Brand,Style,Country,Stars
Nissin,Tray,USA,4.5
Mama,Pack,Bangladesh,3.25
Seven & I,Bowl,Japan,5.0
Forest Noodles,Pack,Taiwan,4.5
Forest Noodles,Pack,Taiwan,5.0
Forest Noodles,Pack,Taiwan,4.0
Forest Noodles,Pack,Taiwan,3.25
Vit's,Pack,Malaysia,5.0
Vit's,Pack,Malaysia,4.5
Vit's,Pack,Malaysia,5.0
Vit's,Pack,Malaysia,5.0
Vit's,Pack,Malaysia,5.0
Vit's,Pack,Malaysia,5.0
Vit's,Pack,Malaysia,3.75
Yum Yum,Pack,Thailand,3.5
Kuriki,Pack,Japan,4.0
Tseng Noodles,Pack,Taiwan,4.75
Tseng Noodles,Pack,Taiwan,5.0
Tseng Noodles,Pack,Taiwan,5.0
Nongshim,Pack,South Korea,5.0
Mama,Pack,Cambodia,3.5
Sichuan Baijia,Pack,China,4.5
Nongshim,Cup,USA,5.0
MyKuali,Pack,Malaysia,4.0
Mi Sedaap,Pack,Indonesia,3.5
Myojo,Bowl,USA,3.25
Ten-In,Bowl,Taiwan,1.5
Yum Yum,Bowl,Thailand,5.0
Sugakiya Foods,Bowl,Japan,4.5
Hao Way,Bowl,Malaysia,4.0
Vifon,Bowl,Vietnam,3.25
Nakaya Shouten,Pack,Japan,4.0
Koh Thai,Pack,Netherlands,3.0
Nissin,Pack,Germany,4.25
Master Kong,Bowl,China,4.25
Conimex,Pack,Netherlands,3.5
MyKuali,Pack,Malaysia,5.0
Marutai,Bowl,Japan,4.75
Mama,Cup,Thailand,3.5
Wai Wai,Cup,Thailand,3.5
Cintan,Pack,Malaysia,3.5
Mama,Pack,Bangladesh,4.0
Thai Chef,Pack,Hungary,4.75
Mama,Pack,Thailand,4.0
Nissin,Cup,USA,3.5
Baijia,Pack,China,3.75
Crystal Noodle,Cup,USA,0.25
Thai Smile,Bowl,USA,2.5
iMee,Pack,Netherlands,2.75
Wai Wai,Pack,Thailand,3.5
Fujiwara,Pack,Japan,4.75
Azami,Pack,Canada,0.0
Vit's,Pack,Malaysia,3.0
Cintan,Pack,Malaysia,3.5
A1,Pack,Malaysia,3.5
Vit's,Pack,Malaysia,4.25
Super,Cup,Malaysia,4.5
Cintan,Pack,Malaysia,3.5
Super,Cup,Malaysia,3.0
Pama,Pack,Malaysia,4.0
Nissin,Tray,USA,4.25
Super,Cup,Malaysia,3.5
Torishi,Pack,Japan,5.0
iMee,Pack,Netherlands,4.5
Western Family,Pack,Canada,0.0
MyKuali,Bowl,Malaysia,5.0
Pulmuone,Pack,South Korea,4.5
Chering Chang,Pack,Taiwan,3.25
JML,Pack,China,5.0
JML,Bowl,China,3.5
JML,Bowl,China,5.0
JML,Bowl,China,4.25
JML,Pack,China,5.0
JML,Bowl,China,4.0
JML,Pack,China,5.0
JML,Bowl,China,3.5
JML,Bowl,China,4.5
Mamee,Pack,Malaysia,5.0
New Touch,Bowl,Japan,5.0
Mama,Pack,Cambodia,4.0
Paldo,Bowl,South Korea,3.5
Nissin,Cup,USA,3.5
Pirkka,Pack,Finland,3.75
Ishimaru,Pack,Japan,4.5
Mom's Dry Noodle,Pack,Taiwan,4.0
Authentically Asian,Bowl,USA,1.0
New Touch,Bowl,Japan,4.5
Nissin,Cup,Thailand,4.0
Vit's,Pack,Malaysia,3.5
iMee,Pack,Netherlands,3.25
A-Sha Dry Noodle,Pack,Taiwan,4.25
Mama,Pack,Bangladesh,4.0
Paldo,Bowl,South Korea,5.0
Thai Smile,Bowl,USA,3.5
Kuriki,Pack,Japan,4.75
Mom's Dry Noodle,Pack,Taiwan,5.0
Mi Sedaap,Cup,Indonesia,5.0
Yum Yum,Pack,Thailand,5.0
Azami,Cup,Canada,3.0
Vit's,Pack,Malaysia,3.5
Marutai,Bowl,Japan,4.25
Unox,Pack,Netherlands,3.5
A-Sha Dry Noodle,Pack,Taiwan,5.0
Mama,Pack,Myanmar,4.5
Aroi,Pack,Malaysia,4.5
Myojo,Bowl,USA,2.5
Master Kong,Pack,China,4.25
Nissin,Bowl,Japan,4.5
Little Cook,Cup,Thailand,4.25
Mi Sedaap,Cup,Indonesia,3.75
Mamee,Pack,Malaysia,5.0
Master Kong,Bowl,China,4.0
Koka,Pack,Singapore,4.25
Bonasia,Pack,Germany,3.75
Super,Cup,Malaysia,3.25
Mama,Pack,Cambodia,5.0
Wu-Mu,Pack,Taiwan,4.5
Vedan,Cup,Taiwan,2.75
Yamadai,Bowl,Japan,3.25
Wei Lih,Bowl,Taiwan,5.0
Vina Acecook,Bowl,Vietnam,3.0
A-Sha Dry Noodle,Pack,Taiwan,3.25
Pirkka,Pack,Finland,3.5
Baixiang Noodles,Pack,China,3.75
CarJEN,Pack,Malaysia,4.5
Salam Mie,Pack,Indonesia,4.25
Mamee,Cup,Malaysia,5.0
Wai Wai,Bowl,Thailand,2.5
Vina Acecook,Cup,Vietnam,2.5
Lee Fah Mee,Pack,Sarawak,4.0
Mama,Pack,Myanmar,3.5
Yum Yum,Pack,Thailand,3.75
Master Kong,Pack,China,3.75
CarJEN,Pack,Malaysia,5.0
Sakurai Foods,Pack,Japan,4.5
Hao Way,Pack,Malaysia,4.0
Chering Chang,Pack,Taiwan,5.0
Asia Gold,Pack,Hungary,4.0
The Kitchen Food,Pack,Sarawak,4.0
Azami,Bowl,Canada,3.5
Maggi,Cup,Malaysia,4.75
Premiere,Pack,Malaysia,4.5
Baixiang Noodles,Pack,China,3.75
7 Select/Nissin,Cup,Thailand,3.5
Samyang Foods,Cup,Japan,2.75
Sakurai Foods,Pack,Japan,4.25
A-Sha Dry Noodle,Pack,Taiwan,4.0
Vit's,Pack,Malaysia,3.5
Maruchan,Cup,USA,4.0
The Kitchen Food,Pack,Sarawak,5.0
Mama,Cup,Thailand,5.0
Mama,Cup,Thailand,5.0
Mama,Pack,Thailand,4.75
Mama,Cup,Myanmar,5.0
Mama,Pack,Bangladesh,3.25
Mama,Cup,Thailand,3.5
Wugudaochang,Bowl,China,4.0
Wugudaochang,Pack,China,5.0
Wugudaochang,Bowl,China,3.75
Wugudaochang,Pack,China,3.75
Wugudaochang,Pack,China,3.5
Wugudaochang,Pack,China,4.0
Wugudaochang,Bowl,China,4.5
Wugudaochang,Pack,China,5.0
Wugudaochang,Pack,China,4.0
Wugudaochang,Bowl,China,3.75
Aroi,Pack,Malaysia,4.5
Ten-In,Bowl,Taiwan,3.5
Nongshim,Pack,USA,5.0
Paldo,Pack,South Korea,5.0
A1,Pack,Malaysia,4.25
Baixiang Noodles,Pack,China,4.5
Emart,Cup,South Korea,3.5
Lishan Food Manufacturing,Pack,Taiwan,3.5
Azami,Cup,Canada,3.25
Ah Lai,Pack,Malaysia,5.0
Tropicana Slim,Pack,Indonesia,3.75
A-One,Cup,Vietnam,1.25
Mama,Cup,Thailand,3.5
Deshome,Pack,Taiwan,5.0
Vifon,Cup,Vietnam,3.0
Paldo Vina,Pack,Vietnam,1.5
Mamee,Pack,Malaysia,2.0
Vina Acecook,Pack,Vietnam,4.0
Mama,Pack,Thailand,5.0
Chencun,Cup,China,3.75
Sau Tao,Pack,Hong Kong,3.0
United,Pack,Vietnam,2.75
ChoripDong,Bowl,South Korea,5.0
Shan,Pack,Pakistan,2.75
Mama,Cup,Thailand,3.5
Baijia,Pack,China,3.0
MyOri,Pack,Malaysia,5.0
MyOri,Pack,Malaysia,5.0
MyOri,Pack,Malaysia,5.0
Ruski,Pack,Malaysia,3.75
Ottogi,Pack,South Korea,4.25
Master Kong,Pack,China,4.25
Wei Lih,Pack,Taiwan,4.25
No Name,Cup,Canada,2.75
New Way,Tray,Vietnam,4.0
Lucky Me!,Bowl,Philippines,3.75
Hao Way,Bowl,Malaysia,2.0
Emart,Cup,South Korea,3.5
Campbell's,Cup,Canada,0.25
One Dish Asia,Bowl,USA,0.0
Long Jun Hang,Pack,Taiwan,2.0
Pama,Cup,Malaysia,3.75
A-Sha Dry Noodle,Pack,Taiwan,5.0
Thai Chef,Pack,Germany,3.0
Shan,Pack,Pakistan,3.25
Wai Wai,Pack,Thailand,2.75
Samyang Foods,Cup,South Korea,3.5
A-One,Cup,Vietnam,3.5
Cintan,Pack,Malaysia,3.0
Nissin,Bowl,Japan,4.0
Nongshim,Bowl,China,2.5
Hao Way,Bowl,Malaysia,3.5
Azami,Cup,Canada,0.0
Vedan,Bowl,Taiwan,2.5
Nissin,Bowl,Japan,2.75
Mama,Bowl,Thailand,5.0
Baixiang Noodles,Pack,China,3.0
MyKuali,Pack,Malaysia,5.0
Nongshim,Pack,USA,4.0
Myojo,Bowl,Japan,3.0
Premiere,Pack,Malaysia,3.25
Nissin,Pack,Singapore,3.75
Deshome,Pack,Taiwan,2.5
MyKuali,Pack,Malaysia,5.0
Unif-100,Pack,China,3.5
Hankow,Pack,China,4.0
The Bridge,Pack,Malaysia,5.0
Maruchan,Bowl,Japan,3.25
Shan,Pack,Pakistan,3.25
Lucky Me!,Bowl,Philippines,4.0
Paldo Vina,Pack,Vietnam,3.0
Mitoku,Pack,Japan,0.25
Hao Way,Pack,Malaysia,4.5
Myojo,Bowl,Japan,2.75
Maggi,Pack,Malaysia,4.0
Nissin,Pack,Hong Kong,3.5
Unzen,Pack,Japan,1.0
Salam Mie,Pack,Indonesia,5.0
Vina Acecook,Pack,Vietnam,3.5
Nongshim,Pack,South Korea,5.0
Chering Chang,Pack,Taiwan,5.0
Nissin,Pack,India,3.5
Mama,Cup,Thailand,4.0
Nissin,Tray,USA,4.0
Uncle Sun,Pack,Malaysia,3.0
JML,Pack,China,5.0
Acecook,Cup,Japan,2.25
Nongshim,Pack,South Korea,4.25
Mom's Dry Noodle,Pack,Taiwan,5.0
Mi E-Zee,Pack,Malaysia,3.5
Mi E-Zee,Pack,Malaysia,3.75
E-mi,Pack,Malaysia,3.75
Mi E-Zee,Pack,Malaysia,3.5
J.J.,Pack,Malaysia,3.75
CarJEN,Pack,Malaysia,5.0
E-mi,Pack,Malaysia,3.75
J.J.,Pack,Malaysia,4.0
Mi E-Zee,Pack,Malaysia,4.0
United,Pack,Vietnam,2.75
Emart,Pack,South Korea,3.75
Curry Prince,Pack,Malaysia,4.0
Nissin,Bowl,Japan,4.0
Mama,Pack,Thailand,3.75
Maggi,Pack,India,3.75
Paldo,Bowl,South Korea,5.0
Chering Chang,Pack,Taiwan,3.5
Hao Way,Bowl,Malaysia,4.75
Master Kong,Pack,China,3.75
Econsave,Pack,Malaysia,3.5
Maruchan,Bowl,Japan,5.0
Maggi,Pack,Malaysia,4.0
Mama,Cup,Thailand,3.5
Nissin,Cup,Japan,4.25
Nissin,Cup,India,3.25
Oyatsu,Pack,Japan,2.5
A-One,Cup,Vietnam,3.0
Nongshim,Pack,USA,4.25
Koka,Pack,Singapore,2.75
Uncle Sun,Pack,Malaysia,4.5
Kin-Dee,Tray,Thailand,3.75
Master Kong,Pack,China,4.0
No Name,Cup,Canada,2.0
Hao Way,Pack,Malaysia,3.5
Ching's Secret,Pack,India,3.75
Ko-Lee,Pack,UK,3.5
ICA,Pack,Sweden,3.0
Mamee,Pack,Malaysia,3.75
Bamee,Pack,Thailand,3.5
Myojo,Bowl,Japan,3.5
Ibumie,Pack,Malaysia,5.0
Sapporo Ichiban,Pack,Canada,5.0
Samyang Foods,Cup,Japan,3.75
Vedan,Bowl,Taiwan,4.25
Nissin,Pack,Hong Kong,3.5
Nanyang Chef,Pack,Malaysia,5.0
Thai Pavilion,Tray,USA,1.5
Maggi,Pack,India,3.75
Koka,Cup,Singapore,2.5
Wu-Mu,Pack,Taiwan,3.75
Unif-100,Pack,China,4.25
New Touch,Bowl,Japan,3.5
Sau Tao,Pack,Hong Kong,4.5
Wai Wai,Pack,Thailand,3.75
Paldo Vina,Pack,Vietnam,3.25
Sau Tao,Pack,Hong Kong,3.5
Vit's,Pack,Malaysia,3.75
Miliket,Pack,Vietnam,3.75
Lucky Me!,Pack,Philippines,4.5
Lucky Me!,Pack,Philippines,3.75
Lucky Me!,Pack,Philippines,4.0
Lucky Me!,Pack,Philippines,4.0
Lucky Me!,Cup,Philippines,3.25
Lucky Me!,Pack,Philippines,4.5
Lucky Me!,Pack,Philippines,3.75
Pama,Cup,Malaysia,3.75
Nissin,Pack,Singapore,3.5
Paldo,Bowl,South Korea,5.0
Vifon,Pack,Vietnam,3.25
Maruchan,Tray,Japan,5.0
Yum Yum,Pack,Thailand,3.0
Ching's Secret,Pack,India,3.5
Mamee,Pack,Malaysia,4.5
Katoz,Pack,Sweden,3.5
Men-Sunaoshi,Pack,Japan,3.75
Nongshim,Pack,South Korea,4.0
Maggi,Pack,Malaysia,4.5
Mama,Pack,Thailand,4.0
Chewy,Pack,Hong Kong,1.75
Long Jun Hang,Pack,Taiwan,3.25
Knorr,Pack,Hong Kong,3.25
Nissin,Bowl,Japan,3.5
Mamee,Pack,Malaysia,5.0
Nissin,Pack,Singapore,3.5
Nissin,Pack,India,3.75
Shan,Pack,Pakistan,3.25
Master Kong,Pack,China,4.25
Nongshim,Bowl,USA,3.25
JML,Pack,China,4.0
Acecook,Tray,Japan,3.25
MyKuali,Pack,Malaysia,5.0
United,Pack,Vietnam,3.25
Samyang Foods,Pack,South Korea,3.5
Nissin,Cup,USA,3.5
Master Kong,Pack,China,4.5
Super,Cup,Malaysia,3.75
Indomie,Cup,Indonesia,3.5
Maruchan,Bowl,Japan,4.25
Wai Wai,Pack,Thailand,4.0
Ottogi,Pack,South Korea,3.75
Nissin,Cup,Germany,3.5
Maggi,Pack,India,3.25
Mom's Dry Noodle,Pack,Taiwan,5.0
ICA,Pack,Sweden,3.25
Mom's Dry Noodle,Pack,Taiwan,5.0
Nongshim,Pack,USA,5.0
Ibumie,Pack,Malaysia,3.75
Four Seas,Pack,Hong Kong,4.0
Maruchan,Pack,Japan,4.0
Master Kong,Pack,China,3.5
Paldo,Pack,South Korea,4.0
Nissin,Cup,USA,3.5
Ruski,Pack,Thailand,4.0
Mama,Pack,Thailand,4.0
Thai Chef,Pack,Germany,3.5
Bamee,Cup,Thailand,3.25
Mama,Pack,Thailand,4.0
Mama,Cup,Thailand,5.0
Ruski,Pack,Thailand,3.75
Mama,Pack,Thailand,5.0
Mama,Cup,Thailand,3.5
Bamee,Pack,Germany,3.25
Mama,Cup,Thailand,5.0
Ruski,Pack,Thailand,4.5
Mama,Pack,Thailand,5.0
Thai Chef,Pack,Germany,3.5
Nanyang Chef,Pack,Malaysia,4.75
Maruchan,Cup,USA,3.5
Wei Lih,Bowl,Taiwan,2.25
Nissin,Cup,Singapore,4.0
Nissin,Pack,Singapore,3.75
Nissin,Cup,Singapore,4.0
Nissin,Bowl,Singapore,3.75
Nissin,Pack,Singapore,3.75
Nissin,Cup,Singapore,3.5
Nissin,Pack,Singapore,3.75
Nissin,Cup,Singapore,4.0
Nissin,Pack,Singapore,5.0
Nissin,Bowl,Singapore,3.75
Nissin,Cup,Singapore,4.0
Nissin,Pack,Singapore,5.0
Nissin,Cup,Singapore,4.0
Nissin,Pack,Singapore,4.25
Nissin,Cup,Singapore,4.0
Myojo,Tray,Japan,4.5
MyKuali,Pack,Malaysia,5.0
Maruchan,Cup,USA,3.5
Nongshim,Pack,USA,4.25
Maggi,Pack,Singapore,3.5
Nissin,Bowl,USA,3.5
Wu-Mu,Pack,Taiwan,3.0
Adabi,Pack,Malaysia,3.5
Maruchan,Pack,Japan,3.5
Knorr,Pack,Hong Kong,3.0
Chencun,Cup,China,3.5
Maggi,Pack,Singapore,4.0
Maggi,Cup,Malaysia,3.5
Maggi,Pack,Singapore,3.75
Maggi,Pack,Singapore,5.0
Maggi,Pack,Singapore,5.0
Samyang Foods,Bowl,South Korea,4.0
Nissin,Pack,Colombia,3.5
Myojo,Pack,Japan,3.0
Osaka Ramen,Bowl,USA,3.75
Ottogi,Bowl,South Korea,4.0
Hao Way,Pack,Malaysia,4.5
Sainsbury's,Pack,UK,1.5
Vina Acecook,Pack,Vietnam,3.0
Nissin,Tray,USA,3.0
Nongshim,Cup,China,2.75
Maruchan,Pack,Japan,3.75
Vifon,Cup,Vietnam,3.5
Ottogi,Pack,South Korea,1.0
Sau Tao,Pack,Taiwan,1.75
Myojo,Pack,Japan,2.0
Chewy,Pack,Hong Kong,0.5
Paldo,Pack,South Korea,5.0
Chering Chang,Pack,Taiwan,5.0
Chewy,Pack,Hong Kong,4.0
A-Sha Dry Noodle,Pack,Taiwan,4.0
Adabi,Pack,Malaysia,3.25
Baixiang Noodles,Pack,China,3.5
Pamana,Cup,Philippines,3.5
Annie Chun's,Pack,USA,5.0
La Fonte,Pack,Indonesia,3.75
Maggi,Pack,India,3.75
Thai Choice,Cup,Thailand,4.0
Tesco,Cup,UK,0.5
Pop Bihun,Pack,Indonesia,3.75
Myojo,Tray,Japan,3.75
Pulmuone,Pack,South Korea,3.75
Vina Acecook,Bowl,Vietnam,3.75
Nissin,Pack,Singapore,3.0
Wu-Mu,Pack,Taiwan,4.0
Oyatsu,Pack,Japan,4.75
Snapdragon,Bowl,USA,4.25
Paldo,Pack,South Korea,4.5
Saji,Pack,Malaysia,4.25
Miracle Noodle,Pack,USA,4.0
Shan,Pack,Pakistan,3.5
Indomie,Pack,Indonesia,4.75
Tiger Tiger,Pack,UK,1.75
Paldo,Pack,South Korea,3.75
Takamori Kosan,Pack,Japan,4.0
Takamori Kosan,Pack,Japan,4.5
Takamori Kosan,Pack,Japan,3.75
Takamori Kosan,Pack,Japan,3.0
Takamori Kosan,Pack,Japan,4.75
Takamori Kosan,Pack,Japan,4.75
Takamori Kosan,Pack,Japan,5.0
Takamori Kosan,Pack,Japan,3.75
Takamori Kosan,Pack,Japan,4.0
Takamori Kosan,Pack,Japan,5.0
Takamori Kosan,Pack,Japan,4.25
Takamori Kosan,Pack,Japan,3.75
Takamori Kosan,Pack,Japan,4.0
Tokyo Noodle,Pack,Japan,3.25
Tesco,Cup,UK,2.0
Samyang Foods,Cup,South Korea,3.75
Campbell's,Cup,Canada,0.0
Papa,Pack,Thailand,3.25
A-Sha Dry Noodle,Pack,Taiwan,3.25
Nissin,Cup,Germany,3.0
Sawadee,Pack,UK,1.5
Nongshim,Cup,USA,4.25
Four Seas,Bowl,Hong Kong,3.5
Golden Wheat,Bowl,China,1.75
Sau Tao,Pack,Hong Kong,2.75
Mamee,Pack,Malaysia,3.5
Mamee,Pack,Malaysia,5.0
Mamee,Pack,Malaysia,3.75
Mamee,Cup,Malaysia,5.0
Mamee,Pack,Malaysia,4.0
Mamee,Cup,Malaysia,5.0
Mamee,Pack,Malaysia,3.25
Mamee,Pack,Malaysia,3.25
Mamee,Cup,Malaysia,4.75
Mamee,Pack,Malaysia,3.75
Mamee,Pack,Malaysia,3.75
Mamee,Pack,Malaysia,4.0
Mamee,Pack,Malaysia,5.0
Mamee,Cup,Malaysia,4.5
Mamee,Pack,Malaysia,3.75
Paldo,Pack,South Korea,4.0
Oyatsu,Pack,Japan,3.75
Lotus Foods,Pack,USA,2.25
Lotus Foods,Pack,USA,4.0
Lotus Foods,Pack,USA,3.25
Ah Lai,Pack,Malaysia,4.5
Plats Du Chef,Bowl,Canada,5.0
Indomie,Pack,Indonesia,2.75
Kin-Dee,Tray,Thailand,3.75
Batchelors,Pack,UK,1.5
Sakura Noodle,Pack,USA,4.25
Shirakiku,Pack,USA,3.75
Sakura Noodle,Pack,USA,4.0
Sakura Noodle,Pack,USA,3.75
Sakura Noodle,Pack,USA,3.75
Sakura Noodle,Pack,USA,3.75
Indomie,Pack,Indonesia,3.75
Sapporo Ichiban,Tray,Japan,5.0
Vifon,Cup,Vietnam,1.25
A-Sha Dry Noodle,Pack,Taiwan,3.75
Unif,Pack,China,3.0
Mamee,Pack,Malaysia,3.75
Koka,Cup,Singapore,3.25
Ruski,Pack,Thailand,3.5
Golden Wheat,Pack,China,2.0
Hi-Myon,Pack,South Korea,4.0
Takamori Kosan,Pack,Japan,3.75
Mama,Cup,Thailand,3.75
Adabi,Pack,Malaysia,4.25
Nissin,Bowl,Japan,4.0
Ve Wong,Pack,Taiwan,2.5
Ottogi,Pack,South Korea,2.75
Sainsbury's,Pack,UK,2.75
Paldo,Pack,South Korea,5.0
Healtimie,Pack,Indonesia,3.25
Maruchan,Pack,Japan,3.75
Pop Bihun,Pack,Indonesia,4.0
Thai Kitchen,Tray,USA,3.0
Yum Yum,Cup,Thailand,3.75
Nongshim,Pack,South Korea,5.0
Nissin,Cup,Japan,3.75
Koka,Pack,Singapore,2.5
A-Sha Dry Noodle,Pack,Taiwan,3.75
Nissin,Pack,Hong Kong,4.75
Western Family,Cup,Canada,1.5
Mama,Pack,Thailand,5.0
Knorr,Pack,Hong Kong,3.25
Samyang Foods,Pack,South Korea,5.0
Mr. Noodles,Cup,Canada,1.0
Good Tto Leu Foods,Bowl,South Korea,4.0
GaGa,Pack,Indonesia,3.25
Wu-Mu,Pack,Taiwan,3.5
Wu-Mu,Pack,Taiwan,3.25
Thai Choice,Cup,Thailand,3.0
Myojo,Pack,Singapore,4.25
Nissin,Cup,Colombia,3.0
A-One,Cup,Vietnam,3.25
Nongshim,Tray,South Korea,4.5
JML,Pack,China,4.0
Sau Tao,Bowl,Hong Kong,3.75
Kimura,Pack,Japan,5.0
Batchelors,Pack,UK,3.25
Lucky Me!,Bowl,Philippines,3.25
Thai Kitchen,Tray,USA,4.25
Nongshim,Cup,South Korea,4.0
Koka,Pack,Singapore,2.75
Tokachimen Koubou,Bowl,Japan,2.25
Deshome,Pack,Taiwan,5.0
Ko-Lee,Pack,UK,3.5
Ottogi,Pack,South Korea,3.25
Vifon,Pack,Vietnam,2.0
Adabi,Pack,Malaysia,4.25
Wu-Mu,Pack,Taiwan,4.5
Wu-Mu,Pack,Taiwan,3.75
Sainsbury's,Pack,UK,3.25
Samyang Foods,Pack,South Korea,3.5
Prima Taste,Pack,Singapore,5.0
Ko-Lee,Pack,UK,5.0
Chewy,Pack,Hong Kong,2.5
Wu-Mu,Pack,Taiwan,3.25
ABC,Cup,Indonesia,3.75
ABC,Cup,Indonesia,4.0
ABC,Cup,Indonesia,3.75
ABC,Cup,Indonesia,4.25
Nissin,Cup,Japan,4.25
ABC,Cup,Indonesia,3.75
Eat & Go,Cup,Indonesia,3.75
ABC,Pack,Indonesia,5.0
Eat & Go,Cup,Indonesia,3.75
President,Pack,Indonesia,4.5
ABC,Cup,Indonesia,4.0
Eat & Go,Cup,Indonesia,4.25
Thai Choice,Cup,Thailand,3.25
Four Seas,Bowl,Hong Kong,2.75
Nissin,Tray,USA,3.75
Tesco,Pack,UK,2.25
Mama,Pack,Thailand,3.5
Samyang Foods,Bowl,South Korea,3.75
Nissin,Cup,Colombia,2.75
Wu-Mu,Pack,Taiwan,4.0
Maruchan,Pack,Japan,4.0
Annie Chun's,Pack,USA,4.0
Sau Tao,Pack,Hong Kong,3.5
Unif,Pack,China,3.75
Nissin,Pack,Hong Kong,1.75
Thai Pavilion,Tray,USA,4.0
Nissin,Pack,Japan,3.75
Maggi,Pack,Malaysia,4.0
SuperMi,Pack,Indonesia,4.0
Sapporo Ichiban,Pack,Japan,5.0
Mama,Pack,Thailand,3.5
Emart,Cup,South Korea,3.25
Nissin,Pack,Hong Kong,3.75
Sainsbury's,Pack,UK,2.75
Nissin,Pack,Colombia,3.25
GaGa,Pack,Indonesia,3.25
A-Sha Dry Noodle,Pack,Taiwan,3.75
Saji,Pack,Malaysia,4.0
Kumamoto,Pack,Japan,2.5
Maruchan,Pack,Japan,3.75
Mr. Noodles,Bowl,Canada,0.5
Master Kong,Bowl,China,3.75
Nissin,Tray,USA,3.75
HoMyeonDang,Pack,South Korea,4.0
Sawadee,Pack,Malaysia,2.5
Nissin,Cup,Germany,3.75
ABC,Pack,Indonesia,4.5
Nissin,Cup,Japan,3.0
Tokyo Noodle,Pack,Japan,3.5
Sau Tao,Pack,China,3.75
Doll,Cup,Hong Kong,3.5
Batchelors,Pack,UK,1.0
GaGa,Cup,Indonesia,4.75
Eat & Go,Cup,Indonesia,5.0
Nan Jie Cun,Tray,China,0.5
Ruski,Pack,Thailand,3.5
Nissin,Bowl,Hong Kong,3.0
A-Sha Dry Noodle,Pack,Taiwan,4.0
Batchelors,Pack,UK,3.25
Golden Wheat,Pack,China,3.5
Nissin,Bowl,Japan,5.0
China Best,Pack,Taiwan,1.0
Mama,Pack,Thailand,3.5
Nissin,Cup,Colombia,3.5
GaGa,Pack,Indonesia,3.5
Sugakiya Foods,Pack,Japan,3.25
A-Sha Dry Noodle,Pack,Taiwan,4.25
Men-Sunaoshi,Pack,Japan,3.75
Mama,Pack,Thailand,3.75
Samyang Foods,Pack,South Korea,5.0
Nissin,Cup,Japan,4.5
Nissin,Bowl,USA,3.5
Sawadee,Pack,Malaysia,2.5
Paldo,Bowl,South Korea,4.0
Nissin,Cup,Germany,3.75
Wu-Mu,Pack,Taiwan,3.75
GaGa,Pack,Indonesia,4.0
Sanrio,Bowl,Japan,3.75
Acecook,Bowl,Japan,5.0
Chencun,Cup,China,3.0
Nongshim,Cup,South Korea,3.5
Nissin,Pack,Colombia,3.75
Sainsbury's,Pack,UK,3.25
Sapporo Ichiban,Cup,Japan,3.5
Paldo,Pack,South Korea,5.0
Ko-Lee,Pack,UK,3.75
Samyang Foods,Pack,South Korea,4.0
Wei Lih,Pack,Taiwan,3.75
Myojo,Pack,Japan,4.25
Nongshim,Cup,USA,5.0
ABC,Pack,Indonesia,4.0
Maruchan,Pack,Japan,3.5
Healtimie,Pack,Indonesia,4.25
Itomen,Pack,Japan,4.0
Pop Bihun,Pack,Indonesia,3.5
Koyo,Pack,USA,2.75
Tiger Tiger,Pack,UK,3.0
Acecook,Cup,Japan,3.75
Mr. Noodles,Cup,Canada,1.75
Nissin,Bowl,Japan,3.25
Kabuto Noodles,Cup,UK,3.75
Unif,Bowl,Taiwan,5.0
Nissin,Tray,USA,3.75
Mr. Noodles,Bowl,Canada,2.0
Chewy,Pack,China,3.25
Nissin,Pack,Japan,4.75
GaGa,Pack,Indonesia,3.75
Samyang Foods,Pack,South Korea,3.75
Peyang,Tray,Japan,5.0
Nissin,Bowl,Hong Kong,4.0
Golden Wonder,Cup,UK,4.25
Vifon,Pack,Vietnam,3.75
Komforte Chockolates,Bar,USA,5.0
Golden Wheat,Pack,China,3.5
Wu-Mu,Pack,Taiwan,4.0
Sapporo Ichiban,Pack,Japan,4.0
Asian Thai Foods,Pack,Nepal,3.75
Asian Thai Foods,Pack,Nepal,3.5
Asian Thai Foods,Pack,Nepal,3.5
Asian Thai Foods,Pack,Nepal,3.5
Asian Thai Foods,Pack,Nepal,3.5
Asian Thai Foods,Pack,Nepal,3.5
Asian Thai Foods,Pack,Nepal,3.75
Asian Thai Foods,Pack,Nepal,3.5
Asian Thai Foods,Pack,Nepal,4.25
Asian Thai Foods,Pack,Nepal,4.0
Asian Thai Foods,Pack,Nepal,3.25
Asian Thai Foods,Pack,Nepal,5.0
Asian Thai Foods,Pack,Nepal,3.75
Tablemark,Pack,Japan,4.75
Koka,Pack,Singapore,3.75
Nissin,Pack,Japan,5.0
Indomie,Pack,Indonesia,4.25
Hi-Myon,Pack,South Korea,4.0
Kamfen,Pack,Hong Kong,3.75
Tesco,Cup,UK,1.5
Wei Lih,Pack,Taiwan,3.75
Nissin,Cup,USA,3.5
Oyatsu,Pack,Japan,3.5
Lucky Me!,Pack,Philippines,3.25
Campbell's,Cup,Canada,2.75
GaGa,Pack,Indonesia,4.0
Myojo,Pack,USA,5.0
Samyang Foods,Bowl,South Korea,4.25
Maruchan,Pack,Japan,4.25
Nagao Noodle,Pack,Japan,4.25
Sau Tao,Pack,China,3.75
ABC,Pack,Indonesia,4.75
Ko-Lee,Pack,UK,3.75
Mr. Noodles,Bowl,Canada,2.75
Thai Pavilion,Tray,USA,4.25
