Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
ncc30,16.6,low fat,0.027579198,household,178.7344,out046,1997,small,tier 1,supermarket type1,1605.9096
fdz26,11.6,regular,0.241055611,dairy,238.5222,out010,1998,medium,tier 3,grocery store,717.0666
nco54,19.5,low fat,0.014332438999999999,household,57.1614,out018,2009,medium,tier 3,supermarket type2,1381.535
ncp41,16.6,low fat,0.027133398,health and hygiene,106.2596,out010,1998,medium,tier 3,grocery store,215.7192
dre27,11.85,low fat,0.132876847,dairy,98.0726,out049,1999,medium,tier 1,supermarket type1,1076.5986
fdq10,12.85,low fat,0.03315162,snack foods,170.6422,out013,1987,high,tier 3,supermarket type1,2931.5174
ncu42,9.0,low fat,0.019536981000000002,household,170.0474,out049,1999,medium,tier 1,supermarket type1,4211.185
fdx43,5.655,low fat,0.085258864,fruits and vegetables,165.85,out035,2004,small,tier 2,supermarket type1,1830.95
ncd19,8.93,low fat,0.013179388,household,55.1614,out046,1997,small,tier 1,supermarket type1,939.4438
nci54,15.2,low fat,0.033592687,household,108.1912,out035,2004,small,tier 2,supermarket type1,1856.2504
fds37,7.655,low fat,0.05346916,canned,114.1492,out010,1998,medium,tier 3,grocery store,115.8492
fdo25,12.857645184135976,low fat,0.126831854,canned,209.02700000000002,out027,1985,medium,tier 3,supermarket type3,4613.994000000001
fds57,15.5,low fat,0.103603094,snack foods,143.547,out049,1999,medium,tier 1,supermarket type1,1431.47
fdi52,18.7,low fat,0.10484088400000001,frozen foods,122.1072,out049,1999,medium,tier 1,supermarket type1,490.0288
drk12,9.5,low fat,0.042056944000000006,soft drinks,31.89,out018,2009,medium,tier 3,supermarket type2,366.19
fdg40,13.65,low fat,0.040049609,frozen foods,34.4558,out017,2007,medium,tier 2,supermarket type1,611.2044
fdu49,19.5,regular,0.03075661,canned,86.25399999999999,out045,2002,medium,tier 2,supermarket type1,2163.85
fdr49,8.71,low fat,0.0,canned,46.5376,out013,1987,high,tier 3,supermarket type1,575.2512
fdf40,12.857645184135976,regular,0.03941584,dairy,247.8092,out019,1985,small,tier 1,grocery store,498.0184
dre03,19.6,low fat,0.024363938999999998,dairy,46.3718,out017,2007,medium,tier 2,supermarket type1,661.8052
fdr55,12.857645184135976,regular,0.131443921,fruits and vegetables,189.1872,out027,1985,medium,tier 3,supermarket type3,5294.4416
ncu05,11.8,low fat,0.05872513099999999,health and hygiene,82.3618,out035,2004,small,tier 2,supermarket type1,1208.427
fdr36,6.715,reg,0.122274118,baking goods,40.3454,out017,2007,medium,tier 2,supermarket type1,838.908
ncm30,19.1,lf,0.067239404,household,39.6796,out013,1987,high,tier 3,supermarket type1,660.4736
fdh24,20.7,low fat,0.021464453999999997,baking goods,156.6288,out049,1999,medium,tier 1,supermarket type1,3928.22
dro47,10.195,low fat,0.112681821,hard drinks,113.986,out018,2009,medium,tier 3,supermarket type2,452.744
fdq49,20.2,regular,0.039469737000000005,breakfast,155.16299999999998,out017,2007,medium,tier 2,supermarket type1,782.315
drj37,10.8,low fat,0.061101382999999995,soft drinks,151.9024,out046,1997,small,tier 1,supermarket type1,2580.6408
ncj42,19.75,low fat,0.014359584,household,100.8332,out018,2009,medium,tier 3,supermarket type2,1537.9979999999998
fdd05,19.35,low fat,0.016637301,frozen foods,120.9098,out049,1999,medium,tier 1,supermarket type1,1687.1372
fdc39,7.405,low fat,0.159843921,dairy,206.6296,out018,2009,medium,tier 3,supermarket type2,3115.9440000000004
ncy06,15.25,low fat,0.061308889000000005,household,128.8968,out045,2002,medium,tier 2,supermarket type1,2348.9424
ncs06,12.857645184135976,low fat,0.055566935,household,263.591,out019,1985,small,tier 1,grocery store,262.991
fde16,8.895,low fat,0.026397141000000002,frozen foods,207.8954,out045,2002,medium,tier 2,supermarket type1,3542.7218
ncq50,18.75,low fat,0.034307348,household,215.2218,out046,1997,small,tier 1,supermarket type1,4701.8796
fdx50,20.1,low fat,0.07462720099999999,dairy,110.3228,out046,1997,small,tier 1,supermarket type1,1768.3648
ncl41,12.35,low fat,0.041973712,health and hygiene,35.7216,out017,2007,medium,tier 2,supermarket type1,519.3240000000001
fdm58,16.85,regular,0.080015028,snack foods,111.8544,out018,2009,medium,tier 3,supermarket type2,1677.816
fdh35,18.25,low fat,0.10084386,starchy foods,166.3526,out010,1998,medium,tier 3,grocery store,164.4526
fds50,17.0,low fat,0.055519560999999995,dairy,219.8114,out049,1999,medium,tier 1,supermarket type1,1108.557
fdt09,12.857645184135976,regular,0.012203915,snack foods,133.2284,out027,1985,medium,tier 3,supermarket type3,4350.3372
fdr60,14.3,low fat,0.130946374,baking goods,76.7328,out018,2009,medium,tier 3,supermarket type2,1312.9576
fdg22,17.6,regular,0.041381156,snack foods,35.019,out046,1997,small,tier 1,supermarket type1,659.1419999999999
fdl52,12.857645184135976,regular,0.04586701,frozen foods,37.9506,out027,1985,medium,tier 3,supermarket type3,910.8144
drj39,20.25,low fat,0.036474041,dairy,218.3482,out018,2009,medium,tier 3,supermarket type2,2409.5302
fdw45,18.0,low fat,0.039231652,snack foods,145.1418,out017,2007,medium,tier 2,supermarket type1,2648.5524
ncq38,16.35,low fat,0.013393536999999999,others,106.02799999999999,out045,2002,medium,tier 2,supermarket type1,1065.28
fdb26,14.0,reg,0.031444357,canned,53.763999999999996,out017,2007,medium,tier 2,supermarket type1,798.96
drg48,5.78,low fat,0.014555066,soft drinks,145.2102,out046,1997,small,tier 1,supermarket type1,3062.0142
fdh10,21.0,low fat,0.082526478,snack foods,191.8478,out010,1998,medium,tier 3,grocery store,774.9912
fdp28,13.65,regular,0.080765853,frozen foods,262.8936,out049,1999,medium,tier 1,supermarket type1,4958.8784
fdj44,12.3,regular,0.17797002,fruits and vegetables,173.1396,out010,1998,medium,tier 3,grocery store,697.7584
fdi07,12.35,reg,0.03382933,meat,196.9426,out045,2002,medium,tier 2,supermarket type1,2768.3964
drj24,11.8,low fat,0.11397026,soft drinks,185.1924,out017,2007,medium,tier 2,supermarket type1,2591.2936
drl47,19.7,low fat,0.038729457,hard drinks,127.3362,out035,2004,small,tier 2,supermarket type1,755.0172
fdp38,10.1,low fat,0.032075379,canned,50.9008,out013,1987,high,tier 3,supermarket type1,354.2056
fdk02,12.857645184135976,low fat,0.196490902,canned,120.544,out019,1985,small,tier 1,grocery store,479.376
fdo23,17.85,low fat,0.146305498,breads,94.1436,out013,1987,high,tier 3,supermarket type1,1607.2412
nce54,20.7,low fat,0.026877471,household,74.6354,out013,1987,high,tier 3,supermarket type1,1053.2956
fds52,8.89,low fat,0.005474515,frozen foods,99.7016,out046,1997,small,tier 1,supermarket type1,1922.8304
fdw01,14.5,low fat,0.064048405,canned,153.4682,out035,2004,small,tier 2,supermarket type1,1677.1502
ncf07,9.0,low fat,0.032203667000000005,household,100.8016,out017,2007,medium,tier 2,supermarket type1,1113.2176
dre15,13.35,low fat,0.017857847,dairy,77.5012,out018,2009,medium,tier 3,supermarket type2,1518.024
fdr58,6.675,low fat,0.041921462,snack foods,92.3462,out046,1997,small,tier 1,supermarket type1,2406.2012
fdl24,10.3,regular,0.024875871,baking goods,173.0422,out013,1987,high,tier 3,supermarket type1,2069.3064
fdq25,12.857645184135976,regular,0.028139761,canned,173.7422,out027,1985,medium,tier 3,supermarket type3,3621.2862
fdx56,17.1,regular,0.073997843,fruits and vegetables,207.0638,out013,1987,high,tier 3,supermarket type1,4969.5312
fdd20,14.15,lf,0.020798905,fruits and vegetables,123.6046,out018,2009,medium,tier 3,supermarket type2,1245.046
drf60,10.8,low fat,0.052363244,soft drinks,236.5564,out017,2007,medium,tier 2,supermarket type1,5243.8408
fdw13,8.5,low fat,0.098283459,canned,51.3324,out018,2009,medium,tier 3,supermarket type2,934.7832
fdf09,6.215,low fat,0.012138795,fruits and vegetables,39.2848,out013,1987,high,tier 3,supermarket type1,521.9872
fdy45,17.5,low fat,0.0,snack foods,253.0356,out035,2004,small,tier 2,supermarket type1,4578.0408
fdr26,20.7,low fat,0.042923652,dairy,178.3028,out045,2002,medium,tier 2,supermarket type1,1062.6168
fdz01,8.975,regular,0.009058845,canned,103.399,out046,1997,small,tier 1,supermarket type1,2579.975
fdh53,20.5,regular,0.032136417,frozen foods,83.9592,out010,1998,medium,tier 3,grocery store,165.1184
fdg52,13.65,low fat,0.065898197,frozen foods,46.1402,out018,2009,medium,tier 3,supermarket type2,459.402
fdw50,13.1,low fat,0.075731322,dairy,167.5158,out045,2002,medium,tier 2,supermarket type1,1504.0422
fdx49,4.615,regular,0.101812521,canned,232.23,out035,2004,small,tier 2,supermarket type1,5126.66
fdj44,12.3,regular,0.106327251,fruits and vegetables,172.8396,out046,1997,small,tier 1,supermarket type1,2616.594
nci31,12.857645184135976,low fat,0.080933328,others,37.519,out027,1985,medium,tier 3,supermarket type3,842.237
fdz52,19.2,low fat,0.100055601,frozen foods,112.4886,out035,2004,small,tier 2,supermarket type1,1223.0746
fde17,20.1,regular,0.054540159000000005,frozen foods,152.1366,out049,1999,medium,tier 1,supermarket type1,755.683
fdg34,11.5,regular,0.037723476,snack foods,109.5254,out018,2009,medium,tier 3,supermarket type2,1953.4572
fde26,9.3,low fat,0.14897741,canned,143.0786,out010,1998,medium,tier 3,grocery store,288.9572
fdd56,15.2,regular,0.104201019,fruits and vegetables,176.5054,out018,2009,medium,tier 3,supermarket type2,2976.7918
fdr52,12.65,regular,0.076198809,frozen foods,191.3846,out045,2002,medium,tier 2,supermarket type1,2675.1844
fdq13,11.1,lf,0.010639596000000001,canned,84.1908,out035,2004,small,tier 2,supermarket type1,755.0172
ncj42,12.857645184135976,low fat,0.025039776,household,102.7332,out019,1985,small,tier 1,grocery store,410.1328
fdh10,12.857645184135976,low fat,0.08632670699999999,snack foods,192.6478,out019,1985,small,tier 1,grocery store,387.4956
ncg42,19.2,low fat,0.041220035,household,131.231,out035,2004,small,tier 2,supermarket type1,3635.268
fdt31,19.75,low fat,0.01247354,fruits and vegetables,187.5872,out045,2002,medium,tier 2,supermarket type1,1323.6104
drd25,6.135,low fat,0.07913221200000001,soft drinks,112.686,out045,2002,medium,tier 2,supermarket type1,2942.836
fdr35,12.5,low fat,0.020693809,breads,199.1742,out035,2004,small,tier 2,supermarket type1,4379.6324
fdl33,7.235,low fat,0.10016525,snack foods,193.9452,out045,2002,medium,tier 2,supermarket type1,2936.178
fdt45,15.85,low fat,0.057302606,snack foods,53.3956,out035,2004,small,tier 2,supermarket type1,600.5516
fdt16,9.895,regular,0.048761045999999995,frozen foods,260.5278,out045,2002,medium,tier 2,supermarket type1,8851.1452
dre49,20.75,low fat,0.0,soft drinks,153.0024,out035,2004,small,tier 2,supermarket type1,2428.8384
drf60,10.8,low fat,0.052149675,soft drinks,239.9564,out049,1999,medium,tier 1,supermarket type1,3813.7024
ncb54,8.76,low fat,0.05013052900000001,health and hygiene,128.3336,out049,1999,medium,tier 1,supermarket type1,2556.672
fdh20,16.1,regular,0.024987903,fruits and vegetables,97.34100000000001,out049,1999,medium,tier 1,supermarket type1,1255.0330000000001
fda31,7.1,low fat,0.109990885,fruits and vegetables,172.908,out035,2004,small,tier 2,supermarket type1,2769.728
fde33,19.35,regular,0.049736267,fruits and vegetables,76.8644,out045,2002,medium,tier 2,supermarket type1,1571.2879999999998
fdm12,16.7,reg,0.117026714,baking goods,189.2214,out010,1998,medium,tier 3,grocery store,188.4214
fdw44,9.5,regular,0.035121963,fruits and vegetables,168.6448,out013,1987,high,tier 3,supermarket type1,1022.6688
dre48,8.43,low fat,0.017311312,soft drinks,197.8768,out013,1987,high,tier 3,supermarket type1,3744.4592
ncx18,14.15,low fat,0.008811818,household,196.511,out045,2002,medium,tier 2,supermarket type1,2749.7540000000004
fda38,5.44,low fat,0.025583714,dairy,239.1538,out018,2009,medium,tier 3,supermarket type2,480.7076
fdq19,7.35,regular,0.014353174,fruits and vegetables,242.6512,out013,1987,high,tier 3,supermarket type1,969.4048
fdy47,12.857645184135976,regular,0.054220618,breads,129.131,out027,1985,medium,tier 3,supermarket type3,4933.5779999999995
fde17,20.1,regular,0.054410179,frozen foods,151.3366,out013,1987,high,tier 3,supermarket type1,2720.4588
fdy25,12.0,low fat,0.033974436000000004,canned,181.8976,out046,1997,small,tier 1,supermarket type1,4527.44
fdt03,21.25,low fat,0.009996872,meat,185.5608,out035,2004,small,tier 2,supermarket type1,3123.9336
fdb49,8.3,regular,0.030212499,baking goods,98.0384,out045,2002,medium,tier 2,supermarket type1,2857.6136
fdl43,10.1,low fat,0.027217467999999998,meat,76.067,out017,2007,medium,tier 2,supermarket type1,1454.773
fde47,14.15,low fat,0.038123176,starchy foods,123.5046,out017,2007,medium,tier 2,supermarket type1,1992.0736
fds49,9.0,low fat,0.079506434,canned,78.3644,out045,2002,medium,tier 2,supermarket type1,1728.4168
fdu23,12.15,low fat,0.021811987,breads,163.6184,out018,2009,medium,tier 3,supermarket type2,2311.6576
fdu38,12.857645184135976,low fat,0.082150145,dairy,192.9504,out027,1985,medium,tier 3,supermarket type3,7478.2656
fdv09,12.857645184135976,low fat,0.036012919,snack foods,148.0734,out019,1985,small,tier 1,grocery store,593.8936
fdr20,20.0,regular,0.028167478,fruits and vegetables,45.5744,out049,1999,medium,tier 1,supermarket type1,452.744
fdy11,6.71,regular,0.029560451,baking goods,65.8142,out046,1997,small,tier 1,supermarket type1,856.8846
fdg40,12.857645184135976,low fat,0.039631495,frozen foods,31.9558,out027,1985,medium,tier 3,supermarket type3,984.7182
fdx20,7.365,low fat,0.04280099,fruits and vegetables,228.372,out017,2007,medium,tier 2,supermarket type1,2037.348
fdz27,7.935,lf,0.017141985,dairy,50.035,out013,1987,high,tier 3,supermarket type1,149.805
fdh09,12.6,low fat,0.056394770999999996,seafood,51.3982,out017,2007,medium,tier 2,supermarket type1,473.3838
fdg29,17.6,low fat,0.056379439,frozen foods,42.7454,out049,1999,medium,tier 1,supermarket type1,293.6178
nca30,19.0,low fat,0.129534812,household,190.1872,out049,1999,medium,tier 1,supermarket type1,5105.3544
ncl53,7.5,low fat,0.036439877999999995,health and hygiene,175.3028,out017,2007,medium,tier 2,supermarket type1,3010.7476
dre15,13.35,low fat,0.0,dairy,77.6012,out046,1997,small,tier 1,supermarket type1,986.7156
ncs38,8.6,low fat,0.090191431,household,112.9176,out046,1997,small,tier 1,supermarket type1,458.0704
fdy21,12.857645184135976,lf,0.30374337,snack foods,196.011,out019,1985,small,tier 1,grocery store,589.2330000000001
fdb58,10.5,regular,0.022590317999999998,snack foods,140.6154,out010,1998,medium,tier 3,grocery store,283.6308
fdh41,9.0,low fat,0.08201152099999999,frozen foods,213.3534,out046,1997,small,tier 1,supermarket type1,1935.4806
drf23,4.61,low fat,0.122843005,hard drinks,172.4396,out049,1999,medium,tier 1,supermarket type1,1569.9564
fde05,10.895,regular,0.05432142,frozen foods,146.2102,out010,1998,medium,tier 3,grocery store,437.4306
fdy10,17.6,low fat,0.049144165,snack foods,112.7176,out049,1999,medium,tier 1,supermarket type1,1717.764
fds43,11.65,low fat,0.040577878,fruits and vegetables,188.22400000000002,out049,1999,medium,tier 1,supermarket type1,1304.968
ncm30,19.1,low fat,0.067400032,household,41.9796,out049,1999,medium,tier 1,supermarket type1,784.3124
fdy49,17.2,regular,0.012036432,canned,165.7184,out045,2002,medium,tier 2,supermarket type1,1816.3024
fdn02,16.5,low fat,0.073977473,canned,206.8638,out045,2002,medium,tier 2,supermarket type1,2070.638
fdp37,15.6,low fat,0.143396175,breakfast,128.0994,out045,2002,medium,tier 2,supermarket type1,2184.4898
ncf07,9.0,low fat,0.03201648,household,99.6016,out035,2004,small,tier 2,supermarket type1,1922.8304
fdj09,15.0,low fat,0.058346234000000004,snack foods,44.0744,out013,1987,high,tier 3,supermarket type1,633.8416
fdo23,12.857645184135976,low fat,0.14571827,breads,94.3436,out027,1985,medium,tier 3,supermarket type3,2269.0464
fdh09,12.857645184135976,low fat,0.05580601599999999,seafood,52.4982,out027,1985,medium,tier 3,supermarket type3,1209.7586
fdx34,6.195,low fat,0.07209744900000001,snack foods,119.3098,out049,1999,medium,tier 1,supermarket type1,1205.098
fdv60,20.2,regular,0.11754371300000001,baking goods,197.31099999999998,out049,1999,medium,tier 1,supermarket type1,3338.987
fde32,20.7,low fat,0.048718334,fruits and vegetables,38.7506,out013,1987,high,tier 3,supermarket type1,227.7036
nci30,20.25,low fat,0.059175599999999995,household,245.046,out018,2009,medium,tier 3,supermarket type2,4680.5740000000005
fds37,7.655,low fat,0.031918284,canned,117.7492,out013,1987,high,tier 3,supermarket type1,695.0952
fdc57,12.857645184135976,regular,0.09558797599999999,fruits and vegetables,193.982,out019,1985,small,tier 1,grocery store,579.246
drc01,5.92,regular,0.019308607,soft drinks,49.0692,out017,2007,medium,tier 2,supermarket type1,1478.076
drd27,18.75,low fat,0.023974769,dairy,99.0042,out017,2007,medium,tier 2,supermarket type1,694.4294
fdi12,9.395,regular,0.100602552,baking goods,88.3856,out045,2002,medium,tier 2,supermarket type1,703.0848
fdq33,13.35,low fat,0.091189915,snack foods,149.3708,out035,2004,small,tier 2,supermarket type1,4514.124
fdq27,12.857645184135976,regular,0.077480627,meat,101.399,out019,1985,small,tier 1,grocery store,206.398
ncb07,19.2,low fat,0.12973174699999998,household,196.21099999999998,out010,1998,medium,tier 3,grocery store,589.2330000000001
fdc08,19.0,regular,0.103363904,fruits and vegetables,226.172,out013,1987,high,tier 3,supermarket type1,3169.208
fdd20,14.15,lf,0.020714523000000002,fruits and vegetables,124.2046,out046,1997,small,tier 1,supermarket type1,2490.092
fds24,20.85,regular,0.062212712999999996,baking goods,88.1514,out035,2004,small,tier 2,supermarket type1,1151.1682
fdh34,8.63,low fat,0.031271134,snack foods,186.0582,out017,2007,medium,tier 2,supermarket type1,3900.9222
ncx30,16.7,low fat,0.026729067999999998,household,248.4776,out018,2009,medium,tier 3,supermarket type2,6439.6176
fdm01,7.895,regular,0.094567181,breakfast,104.5332,out046,1997,small,tier 1,supermarket type1,1845.5976
fdb20,7.72,low fat,0.05193741,fruits and vegetables,77.9986,out013,1987,high,tier 3,supermarket type1,934.7832
nck29,5.615,low fat,0.12648042199999998,health and hygiene,121.573,out017,2007,medium,tier 2,supermarket type1,3202.498
fds11,7.05,regular,0.055644887000000004,breads,224.9088,out049,1999,medium,tier 1,supermarket type1,2684.5056
ncv41,14.35,low fat,0.028519419,health and hygiene,109.2228,out010,1998,medium,tier 3,grocery store,221.0456
drl60,8.52,low fat,0.027101431000000002,soft drinks,151.7682,out049,1999,medium,tier 1,supermarket type1,2439.4912
fdv10,7.645,regular,0.067083367,snack foods,44.0112,out017,2007,medium,tier 2,supermarket type1,596.5568
fdv09,12.1,low fat,0.020652362,snack foods,149.5734,out018,2009,medium,tier 3,supermarket type2,2227.101
fdq39,14.8,low fat,0.081042136,meat,192.4846,out046,1997,small,tier 1,supermarket type1,5159.2842
dre49,20.75,low fat,0.021336565,soft drinks,153.6024,out018,2009,medium,tier 3,supermarket type2,1366.2216
fdr45,10.8,low fat,0.029001987000000003,snack foods,238.6222,out045,2002,medium,tier 2,supermarket type1,8604.7992
drj23,18.35,low fat,0.069745165,hard drinks,190.2872,out010,1998,medium,tier 3,grocery store,378.1744
fdq26,13.5,regular,0.06814888599999999,dairy,58.6562,out018,2009,medium,tier 3,supermarket type2,711.0744
nca06,20.5,low fat,0.144094079,household,34.819,out017,2007,medium,tier 2,supermarket type1,1061.951
fdt24,12.35,regular,0.186616421,baking goods,78.6328,out018,2009,medium,tier 3,supermarket type2,1004.0264
drg27,8.895,low fat,0.105323859,dairy,39.1138,out045,2002,medium,tier 2,supermarket type1,609.207
fdr02,16.7,low fat,0.022110425,dairy,110.8886,out045,2002,medium,tier 2,supermarket type1,3558.0352
drg37,16.2,low fat,0.019374768,soft drinks,155.8972,out035,2004,small,tier 2,supermarket type1,2025.3636
fdj07,7.26,low fat,0.014482278000000001,meat,118.115,out018,2009,medium,tier 3,supermarket type2,1864.24
fdp32,6.65,low fat,0.08780578800000001,fruits and vegetables,126.7678,out049,1999,medium,tier 1,supermarket type1,1907.517
fdv59,13.35,low fat,0.048027043,breads,218.9166,out046,1997,small,tier 1,supermarket type1,5660.6316
fdp60,17.35,low fat,0.055908268,baking goods,99.8016,out035,2004,small,tier 2,supermarket type1,607.2096
fde32,12.857645184135976,low fat,0.048522793,fruits and vegetables,39.6506,out027,1985,medium,tier 3,supermarket type3,1024.6662
fdk26,5.46,regular,0.032359413,canned,187.424,out017,2007,medium,tier 2,supermarket type1,3169.208
fdw28,18.25,low fat,0.088807455,frozen foods,197.3452,out035,2004,small,tier 2,supermarket type1,2740.4328
fdp56,8.185,lf,0.046556408,fruits and vegetables,47.7692,out049,1999,medium,tier 1,supermarket type1,640.4996
fdt25,7.5,low fat,0.050750977,canned,122.2072,out046,1997,small,tier 1,supermarket type1,1960.1152
fdq12,12.65,low fat,0.035404052000000005,baking goods,230.601,out035,2004,small,tier 2,supermarket type1,2067.3089999999997
fdr60,14.3,low fat,0.13039045800000001,baking goods,77.2328,out035,2004,small,tier 2,supermarket type1,231.6984
fdz10,17.85,low fat,0.074422769,snack foods,128.002,out010,1998,medium,tier 3,grocery store,253.00400000000002
fdm13,6.425,low fat,0.10574254400000001,breakfast,130.5626,out010,1998,medium,tier 3,grocery store,131.1626
fdf26,6.825,regular,0.046729335999999996,canned,153.4998,out045,2002,medium,tier 2,supermarket type1,2153.1972
fdn02,12.857645184135976,low fat,0.07347023400000001,canned,205.3638,out027,1985,medium,tier 3,supermarket type3,5383.6588
nci30,20.25,low fat,0.058886477,household,245.546,out013,1987,high,tier 3,supermarket type1,1724.422
ncj31,19.2,low fat,0.18293775,others,243.0196,out049,1999,medium,tier 1,supermarket type1,3615.2940000000003
ncq54,17.7,low fat,0.020993364,household,166.8474,out010,1998,medium,tier 3,grocery store,168.4474
fdb02,9.695,regular,0.029223423999999998,canned,175.437,out045,2002,medium,tier 2,supermarket type1,2999.429
fdc02,12.857645184135976,low fat,0.068489201,canned,259.3278,out027,1985,medium,tier 3,supermarket type3,4165.2448
fda11,7.75,lf,0.043326511,baking goods,95.6436,out045,2002,medium,tier 2,supermarket type1,1134.5232
dri23,12.857645184135976,low fat,0.136532569,hard drinks,159.6578,out027,1985,medium,tier 3,supermarket type3,2888.2404
fde04,19.75,regular,0.018051091000000002,frozen foods,179.86599999999999,out049,1999,medium,tier 1,supermarket type1,2696.49
fdw38,5.325,regular,0.23212188,dairy,55.5298,out010,1998,medium,tier 3,grocery store,53.9298
fdg46,12.857645184135976,regular,0.057620562,snack foods,115.4518,out019,1985,small,tier 1,grocery store,113.8518
ncj05,12.857645184135976,lf,0.045865089000000005,health and hygiene,152.3682,out027,1985,medium,tier 3,supermarket type3,2287.0229999999997
fdu01,12.857645184135976,regular,0.021002171,canned,185.1924,out019,1985,small,tier 1,grocery store,555.2772
fdy11,6.71,regular,0.029727657,baking goods,66.6142,out017,2007,medium,tier 2,supermarket type1,1120.5414
fdx60,14.35,low fat,0.080527065,baking goods,79.296,out013,1987,high,tier 3,supermarket type1,719.064
ncn29,15.2,low fat,0.0,health and hygiene,47.8034,out049,1999,medium,tier 1,supermarket type1,437.4306
fdt07,5.82,reg,0.0,fruits and vegetables,256.633,out049,1999,medium,tier 1,supermarket type1,2050.6639999999998
fdi21,5.59,regular,0.056833394,snack foods,61.9168,out018,2009,medium,tier 3,supermarket type2,1214.4192
fdi41,18.5,regular,0.06225692099999999,frozen foods,148.0418,out046,1997,small,tier 1,supermarket type1,2059.9852
fde10,12.857645184135976,regular,0.08951254199999999,snack foods,133.1626,out027,1985,medium,tier 3,supermarket type3,3672.5528
fdq28,14.0,regular,0.060427062000000004,frozen foods,153.5656,out046,1997,small,tier 1,supermarket type1,3089.312
fdy32,7.605,low fat,0.216323008,fruits and vegetables,165.021,out010,1998,medium,tier 3,grocery store,815.605
nck05,12.857645184135976,low fat,0.135612397,health and hygiene,61.1536,out019,1985,small,tier 1,grocery store,61.2536
fdh12,9.6,low fat,0.08512595099999999,baking goods,107.12799999999999,out045,2002,medium,tier 2,supermarket type1,1278.336
fdj27,17.7,regular,0.12256541300000001,meat,103.8674,out017,2007,medium,tier 2,supermarket type1,1528.011
drl35,15.7,low fat,0.0,hard drinks,43.376999999999995,out010,1998,medium,tier 3,grocery store,129.83100000000002
ncy29,13.65,low fat,0.077670981,health and hygiene,55.093,out017,2007,medium,tier 2,supermarket type1,1301.639
fdc21,14.6,regular,0.043201813,fruits and vegetables,110.1254,out017,2007,medium,tier 2,supermarket type1,1844.9318
fdm33,15.6,low fat,0.088215871,snack foods,220.1798,out017,2007,medium,tier 2,supermarket type1,5068.7354
drj39,20.25,low fat,0.036295834,dairy,217.5482,out013,1987,high,tier 3,supermarket type1,1095.241
fdb22,8.02,low fat,0.18652881899999998,snack foods,151.9998,out010,1998,medium,tier 3,grocery store,307.5996
fdc32,18.35,low fat,0.099026525,fruits and vegetables,93.8462,out013,1987,high,tier 3,supermarket type1,1295.6468
fdd02,16.6,lf,0.0,canned,118.8124,out046,1997,small,tier 1,supermarket type1,2607.2728
fdl28,10.0,regular,0.063162608,frozen foods,228.6668,out035,2004,small,tier 2,supermarket type1,3455.502
fdl39,16.1,regular,0.063429818,dairy,179.4318,out049,1999,medium,tier 1,supermarket type1,2345.6134
fdv37,13.0,regular,0.139785104,canned,196.2426,out010,1998,medium,tier 3,grocery store,197.7426
fda28,16.1,regular,0.04807227,frozen foods,126.5362,out017,2007,medium,tier 2,supermarket type1,1761.7068
fdl04,19.0,low fat,0.11209743300000001,frozen foods,105.5622,out049,1999,medium,tier 1,supermarket type1,1905.5196
fdr10,17.6,low fat,0.010037996,snack foods,163.5552,out035,2004,small,tier 2,supermarket type1,3086.6488
fda39,6.32,low fat,0.012789884,meat,39.1822,out017,2007,medium,tier 2,supermarket type1,1060.6194
fdr15,9.3,regular,0.033431669,meat,153.1314,out035,2004,small,tier 2,supermarket type1,4653.942
fdq40,11.1,regular,0.03623131,frozen foods,175.0712,out017,2007,medium,tier 2,supermarket type1,3339.6528
drg23,12.857645184135976,low fat,0.086360962,hard drinks,151.2682,out027,1985,medium,tier 3,supermarket type3,2439.4912
fdu36,6.15,low fat,0.046232445,baking goods,99.4384,out013,1987,high,tier 3,supermarket type1,1379.5376
fdf47,20.85,low fat,0.097618234,starchy foods,223.9746,out046,1997,small,tier 1,supermarket type1,897.4984
fdh14,17.1,regular,0.046808552999999996,canned,141.4838,out046,1997,small,tier 1,supermarket type1,1404.838
fdo45,13.15,regular,0.03810738,snack foods,86.3856,out018,2009,medium,tier 3,supermarket type2,615.1992
fdk60,16.5,regular,0.093846532,baking goods,95.7068,out035,2004,small,tier 2,supermarket type1,1069.2748
fds43,11.65,low fat,0.040744057,fruits and vegetables,185.924,out017,2007,medium,tier 2,supermarket type1,4101.3279999999995
fdn44,13.15,low fat,0.022831052,fruits and vegetables,160.292,out049,1999,medium,tier 1,supermarket type1,4793.76
fds34,19.35,regular,0.07687841599999999,snack foods,113.9518,out049,1999,medium,tier 1,supermarket type1,1138.518
fdu20,19.35,regular,0.021501067000000002,fruits and vegetables,122.2098,out045,2002,medium,tier 2,supermarket type1,2771.7254
fdp44,16.5,regular,0.07964724,fruits and vegetables,101.4332,out013,1987,high,tier 3,supermarket type1,1948.1308
fdc02,21.35,low fat,0.068809463,canned,258.5278,out035,2004,small,tier 2,supermarket type1,5206.556
fdt56,16.0,regular,0.115570552,fruits and vegetables,57.5246,out035,2004,small,tier 2,supermarket type1,173.7738
nca06,20.5,low fat,0.14316437099999998,household,34.919000000000004,out013,1987,high,tier 3,supermarket type1,73.238
